Sample_id,LUM_92,LUM_85,LUM_80,LUM_75,LUM_73,LUM_67,LUM_62,LUM_58,LUM_57,LUM_55,LUM_53,LUM_46,LUM_42,LUM_39,LUM_31,LUM_317,LUM_313,LUM_29,LUM_248,LUM_247,LUM_246,LUM_245,LUM_244,LUM_243,LUM_242,LUM_241,LUM_240,LUM_239,LUM_238,LUM_237,LUM_236,LUM_235,LUM_234,LUM_233,LUM_232,LUM_231,LUM_230,LUM_229,LUM_228,LUM_227,LUM_226,LUM_225,LUM_223,LUM_139,LUM_138,LUM_115,LUM_108,LUM_105,LUM_103,LUM_06,LUM_01,LUM3_976,LUM3_972,LUM3_969,LUM3_796,LUM3_583,LUM3_570,LUM3_566,LUM3_556,LUM3_546,LUM3_188,LUM3_185,LUM3_182,LUM3_181,LUM3_173,LUM3_170,LUM3_168,LUM3_156,IGRR015,IGRR014,IGRR013,IGRR012,IGRR011,IGRR010,IGRR009,IGRR008,IGRR007,IGRR006,IGRR005,IGRR004,IGRR003,IGRR002,IGRR001
Rikenellaceae_unclassified_SGB2230,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,11.54219,0,0.0,0,0.0,0,0,0.0,0.08798,14.10672,0.00194,0.00289,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.09444,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.03047,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.81516,0.0,0,0.0,0.0,0.0,0,0.0,9.3807,0.0
Clostridium_sp_AM49_4BH,0,0.07782,0.0,0,0,0.0,0.1761,0.0,0.39181,0.0,0.03694,0.02057,0.0,0.04584,0.3679,0.0,0.0,0,0.0,0,0.00602,0.02352,0,0.54552,0.00268,0.39718,0.03201,0.0027,0.19766,0.0619,1.46063,0.0,0.03763,0.0,0.0613,0.03061,0.8121,5.76577,0.11954,0.0546,0.0,0.09465,0.26669,0.07832,0.0,0.0,0,0.5196,0,0.51903,0,0.97957,0.0,0.0,0.74568,0.0,0.37376,0.14622,0.09128,0.26563,0.06806,0.21224,0.0,0.25767,0.01354,0,0.33676,0.03066,0.0,0.00947,0.01288,0.0,0.09627,0.00678,0.0,0.01423,0.0,0.0,0.03665,0.0232,0.10503,0.00008,0.0
Ruminococcus_bromii,1.10842,0,0.0,0.01327,0.94989,8.58122,0.0,2.28076,2.40642,1.08253,0,1.824,0.0,0.93318,4.01708,0.67157,0.07439,0,1.73681,0.44248,1.08617,0,0.00067,2.58407,0.00297,0.0002,0.0839,0,0.69761,0,1.05089,0.17813,1.22255,0.0,2.0682,2.22541,1.23589,0.0,0,0.0,0.0,1.01934,1.39293,0,0.0,0.0,0.18768,2.03123,1.5223,0.0,1.86577,1.17083,2.85395,4.62668,0.0,0.03147,0.67432,0.29819,0.74383,0.02806,1.65623,1.08553,0.01895,0.21383,0.35744,0.45314,0.79134,3.98283,0.0,0,0,0.0,0.0,1.89572,0.90399,0.79223,0.57212,0.0,0.0,0.99277,0.79463,4.41585,1.17494
Prevotella_marseillensis,0,0,11.94295,0,0,0.0,0.0,0.0,0.0,0.7269,0.95437,7.07525,0.0,7.5869,2.61406,0.0,3.51214,0,0.0,0,9.22561,0,0,0.0,0.01936,3.03313,0.0,0,0,11.97491,0.0,0.0,0.0,0.0,0,5.85117,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.20599,0,0.02583,0.00039,0,0,0.0,0.0,0.0,0.0,5.397,0,0,0.0,0.0,18.84088,0.0,0,0,0.18089,0,5.31132,0.0,0,0,0.00122,0.84527,0,0.0,0,0.0,6.14364,0.0,2.8798,0.0,3.86274,0.0
Ruminococcaceae_unclassified_SGB15234,1.87333,0.76444,0.0,0,0.04879,0.0,0.07798,0.0,0.0,0.0,7.24998,0.24081,0.0,1.39245,0,0.0,1.45654,0,0.0,0,0.09535,0,0,0.01455,0.0,0.0541,0.0,0,0.58032,0.82002,0.52715,0.0,0.0,0.0,4.48075,0.10892,0.20732,0.0,0.00923,0.35664,0.15886,1.15132,0.0,0.92089,0.0,0.0,0.31447,0.35037,0.01671,0.0,0.06528,0,0.04286,0.0,0.00357,1.9484,0.00391,0,0.85132,2.5919,0.01654,0,0.0,1.30891,1.71493,0.01302,0.69745,0.02101,0.0,1.05301,0,2.87441,0.84571,0.6189,0.0,0,1.79404,0.51259,0.09239,0.17119,0.0,3.601,0.0
Ruminococcaceae_unclassified_SGB15236,0.00393,0.33553,0.0,0.40587,0.10571,0.0,0.05632,0.92164,0.0,0.0,0.20991,0.84773,0.0,0.26797,2.00954,0.0,1.13133,0,0.0,0.04625,0.30369,0.00311,0,0.28313,0.0099,1.84707,2.05935,0.00707,0.15364,0.19637,0.43344,0.0,0.01561,0.0,0.12941,2.4936,0.0132,0.25837,0.10652,0.00043,0.02052,0.07733,0.20606,0.13483,0.0,0.0,0,1.08448,0.21108,0.0,0.13868,0,0.00453,0.0,0.01235,0.11002,0.25184,0.02427,0.79237,0.00837,0.03796,0.25813,0.16685,0.42409,0.12509,0,0.26099,0,0.0,1.26244,0.20504,0.3653,0.23294,0.84698,0.0,0,0.30643,0.49118,0.06961,0.28475,1.39324,3.5222,0.41542
GGB3293_SGB4348,0,0.40838,0.0,1.54953,0,0.0,0.0,3.34501,0.0,1.68215,1.3191,0.00395,0.0,0.2351,1.08142,0.22425,0.00121,0,0.64499,0.00159,0.0,3.93577,0,1.29773,0.0011,0.03521,0.00166,0,0.15539,0,0.0,0.0,3.05111,0.19148,0,0,0.24185,0.0,4.84902,0.0,0.0,0.0,4.12155,0,0.37637,0.0,0,0,0,3.39516,5.41549,1.4493,1.06067,0.94017,0.04897,0.21677,5.24788,0.13542,0,3.18625,0.00272,3.35073,0.0,2.18157,0.09826,0,0,0,0.0,0,0.01402,0.0,5.02129,0,0.0,0,1.12906,2.74588,0.0,1.98614,0.0,3.21159,0.0
GGB9055_SGB13960,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,3.10409,0.0
Alistipes_putredinis,0,1.98903,0.00985,4.76877,1.07249,0.04601,4.09919,0.0575,0.03725,0.0,3.05125,2.57912,0.00046,2.30581,4.39683,1.79515,1.96474,0.0247,0.08614,2.4783,2.13932,7.22934,0.00259,1.94014,2.98767,2.1685,0.01517,1.03275,4.89715,0,2.04798,0.00807,3.41171,2.26463,1.39943,3.6291,1.20939,2.21792,1.68479,2.80566,2.44439,0.0,6.03177,0,1.47405,2.23692,1.18134,2.18945,2.05195,5.43108,3.38178,2.7559,1.62544,0.0,0.00669,2.41539,2.94252,0,3.44231,0.01412,1.72852,0.88546,4.21051,2.46051,2.57969,6.04793,1.71304,2.02732,0.0,1.25525,0.06062,0.07488,0.81392,2.54524,4.14506,0,1.09138,1.06049,3.32867,0.95839,5.15029,2.63261,0.0
GGB9635_SGB15106,0.50208,1.02353,0.0,4.92407,0,0.0,1.06997,0.00686,0.0,0.0,0.36167,0.0,0.0,0.33426,1.20013,0.0,3.52059,0,0.0,0.07101,0.39482,0.00487,0,0.0,0.0,0.0,0.0,0,0,0.22177,0.0,0.0,0.4624,0.0,0.3025,0,0.0,2.19745,0.24973,0.16642,0.0,3.35755,0.0,2.22238,0.0,8.72348,15.42186,2.11518,0.18351,4.29853,0.00029,0,0.03586,0.0,0.06443,0.11791,2.42878,0,0.11917,0.97934,0.0,1.3082,0.0,0.0042,0.04872,0,0,0,0.0,0,0.25192,6.94687,0.0116,0.84427,0.0,0,0.33832,0.0,0.92178,0.0106,0.0,2.53121,0.0
