"Sample_id","N_SIGB1","SIGB1","FREQ_SIGB1","N_SIGB2","SIGB2","FREQ_SIGB2","SSIGB1","SSIGB2","TOPOB","TOPOBFREQ","TOPOB01"
"C26490",37,6,3.26997,45,33,21.00887,0.162162162162162,0.733333333333333,0.571171171171171,17.7389,0.785585585585586
"C26505",37,1,0.03181,45,44,39.03503,0.027027027027027,0.977777777777778,0.950750750750751,39.00322,0.975375375375375
"LUM_03",37,6,0.3944,45,26,8.07371,0.162162162162162,0.577777777777778,0.415615615615616,7.67931,0.707807807807808
"LUM_09",37,6,5.5392,45,1,0.24408,0.162162162162162,0.0222222222222222,-0.13993993993994,-5.29512,0.43003003003003
"LUM_101",37,15,2.18096,45,12,27.64331,0.405405405405405,0.266666666666667,-0.138738738738739,25.46235,0.430630630630631
"LUM_104",37,15,1.85547,45,15,17.25215,0.405405405405405,0.333333333333333,-0.0720720720720721,15.39668,0.463963963963964
"LUM_11",37,12,0.27287,45,24,14.16192,0.324324324324324,0.533333333333333,0.209009009009009,13.88905,0.604504504504505
"LUM_113",37,6,0.22321,45,36,36.09377,0.162162162162162,0.8,0.637837837837838,35.87056,0.818918918918919
"LUM_12",37,5,0.79748,45,23,13.21905,0.135135135135135,0.511111111111111,0.375975975975976,12.42157,0.687987987987988
"LUM_120",37,1,0.00688,45,40,12.69544,0.027027027027027,0.888888888888889,0.861861861861862,12.68856,0.930930930930931
"LUM_122",37,15,0.95016,45,29,28.72298,0.405405405405405,0.644444444444444,0.239039039039039,27.77282,0.61951951951952
"LUM_125",37,6,0.4198,45,21,7.28932,0.162162162162162,0.466666666666667,0.304504504504505,6.86952,0.652252252252252
"LUM_132",37,10,0.68046,45,10,26.35526,0.27027027027027,0.222222222222222,-0.0480480480480481,25.6748,0.475975975975976
"LUM_136",37,2,0.07068,45,28,24.41339,0.0540540540540541,0.622222222222222,0.568168168168168,24.34271,0.784084084084084
"LUM_14",37,15,0.85963,45,25,40.49761,0.405405405405405,0.555555555555556,0.15015015015015,39.63798,0.575075075075075
"LUM_15",37,5,0.24892,45,31,23.67685,0.135135135135135,0.688888888888889,0.553753753753754,23.42793,0.776876876876877
"LUM_16",37,6,11.26992,45,2,8.48215,0.162162162162162,0.0444444444444444,-0.117717717717718,-2.78777,0.441141141141141
"LUM_19",37,8,8.85177,45,1,0.46419,0.216216216216216,0.0222222222222222,-0.193993993993994,-8.38758,0.403003003003003
"LUM_215",37,12,2.59101,45,13,10.66836,0.324324324324324,0.288888888888889,-0.0354354354354355,8.07735,0.482282282282282
"LUM_216",37,3,0.02157,45,25,10.82818,0.0810810810810811,0.555555555555556,0.474474474474474,10.80661,0.737237237237237
"LUM_217",37,0,0,45,0,0,0,0,0,0,0.5
"LUM_218",37,9,0.95055,45,8,4.99035,0.243243243243243,0.177777777777778,-0.0654654654654655,4.0398,0.467267267267267
"LUM_22",37,8,0.39759,45,35,20.55948,0.216216216216216,0.777777777777778,0.561561561561562,20.16189,0.780780780780781
"LUM_221",37,8,0.6234,45,13,58.57505,0.216216216216216,0.288888888888889,0.0726726726726726,57.95165,0.536336336336336
"LUM_249",37,18,2.50158,45,23,34.49603,0.486486486486487,0.511111111111111,0.0246246246246246,31.99445,0.512312312312312
"LUM_250",37,10,1.75401,45,11,7.98018,0.27027027027027,0.244444444444444,-0.0258258258258258,6.22617,0.487087087087087
"LUM_251",37,1,0.00393,45,39,23.45292,0.027027027027027,0.866666666666667,0.83963963963964,23.44899,0.91981981981982
"LUM_252",37,6,1.03389,45,15,4.28082,0.162162162162162,0.333333333333333,0.171171171171171,3.24693,0.585585585585586
"LUM_253",37,16,3.25439,45,18,6.43888,0.432432432432432,0.4,-0.0324324324324324,3.18449,0.483783783783784
"LUM_254",37,10,0.68223,45,25,22.48172,0.27027027027027,0.555555555555556,0.285285285285285,21.79949,0.642642642642643
"LUM_255",37,3,2.1304,45,0,0,0.0810810810810811,0,-0.0810810810810811,-2.1304,0.459459459459459
"LUM_256",37,18,4.5185,45,19,8.35427,0.486486486486487,0.422222222222222,-0.0642642642642643,3.83577,0.467867867867868
"LUM_257",37,3,0.01005,45,34,28.82887,0.0810810810810811,0.755555555555556,0.674474474474474,28.81882,0.837237237237237
"LUM_258",37,11,0.67358,45,36,14.57224,0.297297297297297,0.8,0.502702702702703,13.89866,0.751351351351351
"LUM_259",37,10,4.63034,45,30,13.10948,0.27027027027027,0.666666666666667,0.396396396396396,8.47914,0.698198198198198
"LUM_26",37,8,0.75871,45,22,15.06192,0.216216216216216,0.488888888888889,0.272672672672673,14.30321,0.636336336336336
"LUM_260",37,13,2.15593,45,5,2.00405,0.351351351351351,0.111111111111111,-0.24024024024024,-0.151879999999999,0.37987987987988
"LUM_261",37,4,0.06003,45,31,9.84213,0.108108108108108,0.688888888888889,0.580780780780781,9.7821,0.79039039039039
"LUM_262",37,17,3.85081,45,4,3.10664,0.45945945945946,0.0888888888888889,-0.370570570570571,-0.74417,0.314714714714715
"LUM_263",37,21,10.16403,45,12,9.27378,0.567567567567568,0.266666666666667,-0.300900900900901,-0.890249999999998,0.34954954954955
"LUM_264",37,14,12.08505,45,3,0.78597,0.378378378378378,0.0666666666666667,-0.311711711711712,-11.29908,0.344144144144144
"LUM_265",37,9,0.70168,45,29,13.4431,0.243243243243243,0.644444444444444,0.401201201201201,12.74142,0.700600600600601
"LUM_266",37,2,0.01006,45,25,14.71023,0.0540540540540541,0.555555555555556,0.501501501501502,14.70017,0.750750750750751
"LUM_267",37,9,17.39637,45,37,21.75561,0.243243243243243,0.822222222222222,0.578978978978979,4.35924,0.78948948948949
"LUM_268",37,8,1.52857,45,27,15.93286,0.216216216216216,0.6,0.383783783783784,14.40429,0.691891891891892
"LUM_269",37,2,0.01755,45,39,17.19927,0.0540540540540541,0.866666666666667,0.812612612612613,17.18172,0.906306306306306
"LUM_270",37,12,2.42196,45,27,23.35756,0.324324324324324,0.6,0.275675675675676,20.9356,0.637837837837838
"LUM_271",37,10,2.62082,45,17,1.92701,0.27027027027027,0.377777777777778,0.107507507507507,-0.69381,0.553753753753754
"LUM_272",37,10,1.02218,45,25,2.82248,0.27027027027027,0.555555555555556,0.285285285285285,1.8003,0.642642642642643
"LUM_273",37,9,5.82225,45,21,46.28412,0.243243243243243,0.466666666666667,0.223423423423423,40.46187,0.611711711711712
"LUM_274",37,15,4.2259,45,20,9.31959,0.405405405405405,0.444444444444444,0.039039039039039,5.09369,0.519519519519519
"LUM_275",37,10,0.4198,45,33,66.54285,0.27027027027027,0.733333333333333,0.463063063063063,66.12305,0.731531531531531
