species_Jan21	SGB_Jan21	GTDB_r207	GTDB_r220
Actinomyces_graevenitzii	SGB17130	s__Actinomyces graevenitzii	s__Actinomyces graevenitzii
Alloscardovia_omnicolens	SGB17300	s__Alloscardovia omnicolens	s__Alloscardovia omnicolens
Anaerostipes_caccae	SGB4529	s__Anaerostipes caccae	s__Anaerostipes caccae
Bifidobacterium_dentium	SGB17234	s__Bifidobacterium dentium	s__Bifidobacterium dentium
Blautia_producta	SGB4791,SGB4785,SGB4786	s__Blautia sp001304935,s__Blautia coccoides,s__Blautia sp000432195	s__Blautia celeris,s__Blautia coccoides,s__Blautia sp000432195
Campylobacter_concisus	SGB19351	s__Campylobacter_A concisus_T	s__Campylobacter_A concisus_T,s__Campylobacter_A concisus_AB,s__Campylobacter_A concisus_AH,s__Campylobacter_A concisus_AK
Campylobacter_gracilis	SGB19300	s__Campylobacter_B gracilis	s__Campylobacter_B gracilis
Clostridium_innocuum	SGB4037_group	s__Clostridium_AQ innocuum	s__Clostridium_AQ innocuum
Clostridium_perfringens	SGB6191	s__Clostridium_P perfringens	s__Sarcina perfringens
Clostridium_scindens	SGB4630_group	s__Clostridium_AP sp000509125	s__Clostridium_AP sp000509125
Clostridium_symbiosum	SGB4699	s__Clostridium_Q symbiosum	s__Otoolea symbiosa
Collinsella_SGB14754	SGB14754	s__Collinsella stercoripullorum	s__Collinsella stercoripullorum
Enorma_massiliensis	SGB14749	s__Enorma massiliensis	s__Enorma massiliensis
Enterocloster_aldensis	SGB4762	s__Enterocloster aldenensis	s__Enterocloster aldenensis
Enterocloster_bolteae	SGB4758_group	s__Enterocloster bolteae	s__Enterocloster bolteae
Enterocloster_clostridioformis	SGB4760	s__Enterocloster clostridioformis	s__Enterocloster clostridioformis
Erysipelatoclostridium_ramosum	SGB6744	s__Erysipelatoclostridium ramosum	s__Thomasclavelia ramosa
Fournierella_massiliensis	SGB15280	s__Fournierella massiliensis	s__Fournierella massiliensis
Granulicatella_adiacens	SGB8249	s__Granulicatella adiacens	s__Granulicatella adiacens
Hungatella_hathewayi	SGB4741,SGB4742,SGB4739	s__Hungatella_A hathewayi_A,s__Hungatella effluvii,s__Hungatella sp005845265	s__Hungatella_A hathewayi_A,s__Hungatella effluvii,s__Hungatella hathewayi
Lacticaseibacillus_paracasei	SGB7142	s__Lacticaseibacillus paracasei	s__Lacticaseibacillus paracasei
Lactobacillus_gasseri	SGB7038_group	s__Lactobacillus paragasseri	s__Lactobacillus paragasseri
Lactobacillus_vaginalis	SGB7098	s__Limosilactobacillus vaginalis	s__Limosilactobacillus vaginalis
Ligilactobacillus_salivarius	SGB7082	s__Ligilactobacillus salivarius	s__Ligilactobacillus salivarius,s__Ligilactobacillus sp945923665
Limosilactobacillus_fermentum	SGB7106	s__Limosilactobacillus fermentum	s__Limosilactobacillus fermentum
Limosilactobacillus_oris	SGB7093	s__Limosilactobacillus oris	s__Limosilactobacillus oris,s__Limosilactobacillus sp946579075
Megasphaera_micronuciformis	SGB5868	s__Anaeroglobus micronuciformis	s__Anaeroglobus micronuciformis
Proteus_mirabilis	SGB9992	s__Proteus mirabilis	s__Proteus mirabilis
Streptococcus_anginosus	SGB8028_group	s__Streptococcus anginosus	s__Streptococcus anginosus
Streptococcus_gordonii	SGB8053,SGB8054	s__Streptococcus sp000220065,s__Streptococcus gordonii	s__Streptococcus sp000220065,s__Streptococcus gordonii
Streptococcus_mutans	SGB8000	s__Streptococcus mutans	s__Streptococcus mutans
Streptococcus_oralis	SGB8121,SGB8130	s__Streptococcus oralis_S,s__Streptococcus oralis_Q	s__Streptococcus oralis_S,s__Streptococcus oralis_Q
Streptococcus_parasanguinis	SGB8071	s__Streptococcus parasanguinis_B	s__Streptococcus parasanguinis_B,s__Streptococcus parasanguinis_I,s__Streptococcus parasanguinis_M
Streptococcus_salivarius	SGB8007_group	s__Streptococcus salivarius	s__Streptococcus salivarius,s__Streptococcus salivarius_D
Veillonella_atypica	SGB6936	s__Veillonella atypica	s__Veillonella atypica
Veillonella_dispar	SGB6952	s__Veillonella nakazawae	s__Veillonella nakazawae
Veillonella_parvula	SGB6939	s__Veillonella parvula_A	s__Veillonella parvula_A
